Title,Price,Location,Url,Image Url,Scraped At,Source,Search Name,Site Name
2000 BMW z3 2.3 Roadster 2D,5000,"Mountain View, CA",https://www.facebook.com/marketplace/item/760642139913219/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A129ca41c-555c-46ec-a8d3-cf862c058a33&__tn__=!%3AD,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/537386154_122275570724007771_3675116913249811500_n.jpg?stp=c448.0.1153.1153a_dst-jpg_s261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=d_P6WipRM2gQ7kNvwFoMIkI&_nc_oc=Adkm77wJNsYro1mpksczuBwrOd2L6JTaNgFm3_zVuCsxEKwFWajfGD-rj45xlTn5rMo&_nc_zt=23&_nc_ht=scontent-sjc3-1.xx&_nc_gid=L8hJMSqru1AFpZfs5qsCGw&oh=00_AfUNjJPSSF_SVZi8fSMcvXWBoVO1X0iYVJTP98urhxAelA&oe=68B3B6B0,2025-08-26T15:01:22.757Z,facebook-marketplace,BMW Z3,facebook_marketplace
1998 BMW z3 6-Cyl Roadster 2D,3500,"Sunnyvale, CA",https://www.facebook.com/marketplace/item/1861794648082374/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A129ca41c-555c-46ec-a8d3-cf862c058a33&__tn__=!%3AD,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/527592828_2007787153317501_2645482852350486951_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=grcZVDHrkkwQ7kNvwE4tMbz&_nc_oc=AdmJHpQh2HjZuyxiFvr4tajEHy8sxLIqlAt63aImmyudGtnYkZtWX67oBJrM6O0mA7o&_nc_zt=23&_nc_ht=scontent-sjc3-1.xx&_nc_gid=L8hJMSqru1AFpZfs5qsCGw&oh=00_AfVNup1esJkw9I9ggzjWYymQww4A2WEH05QLWvNSYgTRaw&oe=68B3AEE0,2025-08-26T15:01:23.151Z,facebook-marketplace,BMW Z3,facebook_marketplace
2000 BMW z3 6-Cyl Roadster 2D,6000,"Vallejo, CA",https://www.facebook.com/marketplace/item/24455412114151059/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A129ca41c-555c-46ec-a8d3-cf862c058a33&__tn__=!%3AD,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/539029073_696452430119272_5421314429446570168_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=zhNEJP7R3g0Q7kNvwG4pq3s&_nc_oc=Adl_uzAZ5x65j6-6uCyIYIiKzL3AOfvANy3GNqnvhMMOSkssNDYHs-7WoAQvvB3Hz34&_nc_zt=23&_nc_ht=scontent-sjc3-1.xx&_nc_gid=L8hJMSqru1AFpZfs5qsCGw&oh=00_AfUyg9NeQW9TJ5QtcTR9PydD3UNer2yNGvXkltlqyiNUoQ&oe=68B3A1FE,2025-08-26T15:01:23.712Z,facebook-marketplace,BMW Z3,facebook_marketplace
1998 BMW z3 2.8 Roadster 2D,6000,"Santa Cruz, CA",https://www.facebook.com/marketplace/item/738845148560734/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A129ca41c-555c-46ec-a8d3-cf862c058a33&__tn__=!%3AD,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/514953289_9868504836605619_4283843547268126128_n.jpg?stp=c256.0.1536.1536a_dst-jpg_s261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=CfWgjqN_Ez8Q7kNvwG1CnVp&_nc_oc=Adk8rUNlqpd6FOnWe7kDCd5j0pqF51fEDUDUv2ZMU3fuDiEvVYRrWAx4P-FOx7Na4co&_nc_zt=23&_nc_ht=scontent-sjc3-1.xx&_nc_gid=L8hJMSqru1AFpZfs5qsCGw&oh=00_AfWGpBKNgWfMe86foHsnYITZQQNCfBy0ah9b2qniorseNA&oe=68B389DD,2025-08-26T15:01:24.365Z,facebook-marketplace,BMW Z3,facebook_marketplace
2001 BMW z3 2.5i,7980,"Saratoga, CA",https://www.facebook.com/marketplace/item/4284974395067826/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A129ca41c-555c-46ec-a8d3-cf862c058a33&__tn__=!%3AD,https://scontent-sjc3-1.xx.fbcdn.net/v/t45.5328-4/536040583_750060594458449_3624714954326849700_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_ohc=uTrmapC5WxoQ7kNvwHILB_l&_nc_oc=Adl3uJa4f-e6-bfiWzr2Rvm1BZ35eOmxVMTtMDL5j-kRlyKus5e836YSzv08iUvaSyY&_nc_zt=23&_nc_ht=scontent-sjc3-1.xx&_nc_gid=L8hJMSqru1AFpZfs5qsCGw&oh=00_AfUI4q_qTplhrqjyAki_oOqxwToRb5OWbpwaxs7D3B38QA&oe=68B3ADB7,2025-08-26T15:01:24.854Z,facebook-marketplace,BMW Z3,facebook_marketplace
1999 BMW z3 2.3,3500,"San Jose, CA",https://www.facebook.com/marketplace/item/1145947790714867/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A129ca41c-555c-46ec-a8d3-cf862c058a33&__tn__=!%3AD,https://scontent-sjc3-1.xx.fbcdn.net/v/t45.5328-4/530789301_4263038610687126_7157689531588896772_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_ohc=2jcckbqt6WgQ7kNvwEhbRZ4&_nc_oc=Adny2oH860FDDc2QxZjGXb9iF9othsZWavCSfWPKKnLSUuk_46BfQr7Xu0rFvxVwyZ4&_nc_zt=23&_nc_ht=scontent-sjc3-1.xx&_nc_gid=L8hJMSqru1AFpZfs5qsCGw&oh=00_AfUPngpbj6d76yXSNf8yEuoNRzXrB4mmaJK59PXxTC1FeA&oe=68B38379,2025-08-26T15:01:25.820Z,facebook-marketplace,BMW Z3,facebook_marketplace
1997 BMW z3 6-Cyl Roadster 2D,1234,"Benicia, CA",https://www.facebook.com/marketplace/item/486441137522637/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A129ca41c-555c-46ec-a8d3-cf862c058a33&__tn__=!%3AD,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/481126532_633677835816147_4572350493259838292_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=454cf4&_nc_ohc=E495FQbmdzUQ7kNvwHSpFhI&_nc_oc=AdmX-_AfiIan087LlexnANQLwqqy7r-ex-Cz8uBOEw27OZpGaiT3vKOCs237kDQbdo0&_nc_zt=23&_nc_ht=scontent-sjc3-1.xx&_nc_gid=L8hJMSqru1AFpZfs5qsCGw&oh=00_AfVST3_BTnM8B5wRzZ2oHAux845rufWsIpSBCsDAHUs9tw&oe=68B39528,2025-08-26T15:01:26.391Z,facebook-marketplace,BMW Z3,facebook_marketplace
1998 BMW z3 4-Cyl Roadster 2D,3000,"Milpitas, CA",https://www.facebook.com/marketplace/item/1585652028926452/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A129ca41c-555c-46ec-a8d3-cf862c058a33&__tn__=!%3AD,https://scontent-sjc6-1.xx.fbcdn.net/v/t39.30808-6/486730592_671625298852734_1744200361385812181_n.jpg?stp=c256.0.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=zHz27Pkig9gQ7kNvwEfgy-V&_nc_oc=Adk_xNaSPnlFydIECnm2Pmr4IiaknOYG7rMtQbg7ucRSHg31CIB52ZDN6rD3DHl-XZc&_nc_zt=23&_nc_ht=scontent-sjc6-1.xx&_nc_gid=L8hJMSqru1AFpZfs5qsCGw&oh=00_AfUZDPgum51YmBO11uXz0DQrywQcSIdIZuZxpNGDZ4Z77g&oe=68B3AD1A,2025-08-26T15:01:26.677Z,facebook-marketplace,BMW Z3,facebook_marketplace
1997 BMW z3 4-Cyl Roadster 2D,4000,"Newark, CA",https://www.facebook.com/marketplace/item/794610399559229/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A129ca41c-555c-46ec-a8d3-cf862c058a33&__tn__=!%3AD,https://scontent-sjc6-1.xx.fbcdn.net/v/t39.30808-6/533069495_10163839357601869_2625156504215609715_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=uibhMj56q1gQ7kNvwHz4-s_&_nc_oc=AdllyRlV4tseuJioUDzvdWx40ycp3yrnpDFFMa-_dskDwYMpfZgraYrIWK6jkoQPhBQ&_nc_zt=23&_nc_ht=scontent-sjc6-1.xx&_nc_gid=L8hJMSqru1AFpZfs5qsCGw&oh=00_AfW9VefU1SSFz-WvK9qFTVHaaYAOol2e-TM655lYhubGXw&oe=68B391EE,2025-08-26T15:01:26.994Z,facebook-marketplace,BMW Z3,facebook_marketplace
2001 BMW z3,10000,"Sonoma, CA",https://www.facebook.com/marketplace/item/689481817478266/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A129ca41c-555c-46ec-a8d3-cf862c058a33&__tn__=!%3AD,https://scontent-sjc3-1.xx.fbcdn.net/v/t45.5328-4/533585490_630972246723539_1003371964950327190_n.jpg?stp=c84.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=247b10&_nc_ohc=smy3fJClGnsQ7kNvwEOODJd&_nc_oc=Adnuh2Lj2Lg6lmGTzLsP1wYs6bLwLSZPgTVWYwv24NhQx-bXy2QQr3o1U0-vsQjeGWc&_nc_zt=23&_nc_ht=scontent-sjc3-1.xx&_nc_gid=L8hJMSqru1AFpZfs5qsCGw&oh=00_AfXeHdJS1h6-8BRL84vt970_Tdpp2bEr4-tS8hpu2fmTmA&oe=68B3BA32,2025-08-26T15:01:27.515Z,facebook-marketplace,BMW Z3,facebook_marketplace
