Title,Price,Location,Date,Url,Image Url,Scraped At,Source,Search Name,Site Name
2008 BMW Z4 3.0I  ROADSTER CONVERTIBLE (ONLY 56K) MANUAL TRANSMISSION,12400,"•••••••••••••••••••••2008 BMW Z4 3.0I  ROADSTER CONVERTIBLE ONLY 56K MANUAL TRANSMISSION7h ago56k milos gatos$12,400","•••••••••••••••••••••2008 BMW Z4 3.0I  ROADSTER CONVERTIBLE (ONLY 56K) MANUAL TRANSMISSION7h ago56k milos gatos$12,400",https://sfbay.craigslist.org/sby/cto/d/los-gatos-2008-bmw-z4-30i-roadster/7877546990.html,https://images.craigslist.org/d/7877546990/00303_iIchZhg6CcM_0CI0t2_600x450.jpg,2025-08-30T02:08:44.312Z,craigslist,BMW Z3,craigslist
2009 BMW Z4 SDRIVE 35I HARDTOP CONVERTIBLE*6 SP MANUAL*LOW MILES 43K*,23995,"••••••••••••••••••••••••2009 BMW Z4 SDRIVE 35I HARDTOP CONVERTIBLE*6 SP MANUAL*LOW MILES 43K*8/2943k miwalnut creek$23,995","••••••••••••••••••••••••2009 BMW Z4 SDRIVE 35I HARDTOP CONVERTIBLE*6 SP MANUAL*LOW MILES 43K*8/2943k miwalnut creek$23,995",https://sfbay.craigslist.org/eby/ctd/d/ross-2009-bmw-z4-sdrive-35i-hardtop/7877412986.html,https://images.craigslist.org/d/7877412986/00r0r_bkZoctnFPnJz_0CI0pV_600x450.jpg,2025-08-30T02:08:44.314Z,craigslist,BMW Z3,craigslist
1999 BMW Z3 M Coupe Manual Transmission ONLY 75k Miles!,33880,"••••••••••••••••••••••••1999 BMW Z3 M Coupe Manual Transmission ONLY 75k Miles!8/2175k misan bruno$33,880","••••••••••••••••••••••••1999 BMW Z3 M Coupe Manual Transmission ONLY 75k Miles!8/2175k misan bruno$33,880",https://sfbay.craigslist.org/pen/ctd/d/san-bruno-1999-bmw-z3-coupe-manual/7875461734.html,https://images.craigslist.org/d/7875461734/00808_iWLrcgMLGGL_0g80c6_600x450.jpg,2025-08-30T02:08:44.316Z,craigslist,BMW Z3,craigslist
2001 BMW Z3 CONVERTIBLE 2.5 MANUAL NICE CONDITION,5750,"••••••••••2001 BMW Z3 CONVERTIBLE 2.5 MANUAL NICE CONDITION8/15153k misanta cruz$5,750","••••••••••2001 BMW Z3 CONVERTIBLE 2.5 MANUAL NICE CONDITION8/15153k misanta cruz$5,750",https://sfbay.craigslist.org/scz/ctd/d/santa-cruz-2001-bmw-z3-convertible-25/7874009318.html,https://images.craigslist.org/d/7874009318/00h0h_dRJKdrXz6pa_0CI0t2_600x450.jpg,2025-08-30T02:08:44.317Z,craigslist,BMW Z3,craigslist
1999 BMW Z3 2.3 2dr Convertible,8995,"••••••••••••••••••1999 BMW Z3 2.3 2dr Convertible8/28110k micampbell$8,995","••••••••••••••••••1999 BMW Z3 2.3 2dr Convertible8/28110k micampbell$8,995",https://sfbay.craigslist.org/sby/ctd/d/san-jose-1999-bmw-z3-23-2dr-convertible/7877357511.html,https://images.craigslist.org/d/7877357511/00303_HXC54w9Tcg_0g80c6_600x450.jpg,2025-08-30T02:08:44.318Z,craigslist,BMW Z3,craigslist
"2002 Bmw Z3 model 6 speed,",10500,"••••••••••••••2002 Bmw Z3 model 6 speed,8/28147k miSacramento$10,500","••••••••••••••2002 Bmw Z3 model 6 speed,8/28147k miSacramento$10,500",https://sacramento.craigslist.org/cto/d/sacramento-2002-bmw-z3-model-speed/7877153059.html,https://images.craigslist.org/d/7877153059/00z0z_cIKoE2zc7R3_0CI0t2_600x450.jpg,2025-08-30T02:08:44.320Z,craigslist,BMW Z3,craigslist
2008 BMW Z4 3.0si For Sale,9900,"••••••••••••••••••••••••2008 BMW Z4 3.0si For Sale8/26121k misan rafael$9,900","••••••••••••••••••••••••2008 BMW Z4 3.0si For Sale8/26121k misan rafael$9,900",https://sfbay.craigslist.org/nby/cto/d/san-rafael-2008-bmw-z4-30si-for-sale/7876814871.html,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",2025-08-30T02:08:44.869Z,craigslist,BMW Z3,craigslist
2005 BMW Z4 Manual,8500,"••••••••2005 BMW Z4 Manual8/12107k miWest Sacramento$8,500","••••••••2005 BMW Z4 Manual8/12107k miWest Sacramento$8,500",https://sacramento.craigslist.org/cto/d/west-sacramento-2005-bmw-z4-manual/7873188795.html,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",2025-08-30T02:08:44.872Z,craigslist,BMW Z3,craigslist
2000*BMW Z3*2.8*RDSTR-CONVERT* POWER TOP*5-SPD*1-FAMILY OWNED**6-CYL*,8900,"••••••••••••••••••••2000*BMW Z3*2.8*RDSTR-CONVERT* POWER TOP*5-SPD*1-FAMILY OWNED**6-CYL*8/26136k mihalf moon bay$8,900","••••••••••••••••••••2000*BMW Z3*2.8*RDSTR-CONVERT* POWER TOP*5-SPD*1-FAMILY OWNED**6-CYL*8/26136k mihalf moon bay$8,900",https://sfbay.craigslist.org/pen/ctd/d/half-moon-bay-2000bmw-z328rdstr-convert/7876705745.html,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",2025-08-30T02:08:44.874Z,craigslist,BMW Z3,craigslist
1999 BMW Z3 2.5L 5-Speed,3247,"•1999 BMW Z3 2.5L 5-Speed8/2135k mimilpitas$3,247","•1999 BMW Z3 2.5L 5-Speed8/2135k mimilpitas$3,247",https://sfbay.craigslist.org/sby/cto/d/milpitas-1999-bmw-z3-25l-speed/7870633459.html,"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAAEAAAABCAYAAAAfFcSJAAAAAXNSR0IArs4c6QAAAAtJREFUGFdjYAACAAAFAAGq1chRAAAAAElFTkSuQmCC",2025-08-30T02:08:44.877Z,craigslist,BMW Z3,craigslist
